id	filename	md5	size	state
c9132c6e-e508-41bb-a0f0-f0aeb4b44403	TCGA-KS-A4I3-01A-01-TS1.A3B71381-DE77-47F1-AB70-5C1494BE8FB9.svs	2c771d7b129c0093b59b4b85d1b6c734	138001619	validated
cacb48c3-2ad5-439f-ae40-8556d010c08f	TCGA-EM-A3ST-11A-01-TS1.53C5F974-77EF-4F24-9AE3-ED06408F7E8D.svs	a13b5544e940534fecc16c1100d8eb38	52274847	validated
4bde1e71-3c4f-4262-b43c-3f646ccdda96	TCGA-EL-A4K2-01A-01-TS1.6D27B275-AD02-41F2-8101-CCD14923000D.svs	3950f6ff797661a9f0974200e0147414	88106281	validated
cb7d5ffe-4d90-411c-a4b0-4b039b4e7f6f	TCGA-EL-A3CM-01A-01-TS1.7DB20CFA-547C-4CF4-AC6E-C4D9CE289BE7.svs	be481c8bec90aa83b70b271fa29eaf8a	196338757	validated
caf451b3-430c-4996-bcad-692cf5cef071	TCGA-BJ-A28R-11A-01-TSA.15f756df-f12f-4838-a5d0-5f55242bbb36.svs	ac9c1dc3958a43694e6aa61e6ab6981a	94469937	validated
4d50726e-1ac0-47a3-ba86-145f234f7e20	TCGA-4C-A93U-01A-01-TSA.98C515D6-FC22-4C08-AF48-EE35BAE30FC1.svs	675e76c1c2743d7feb76e98b89c7db04	400005891	validated
4cffbe9d-da22-43ad-a0a3-85bb14cb0afe	TCGA-DJ-A3UP-01A-01-TSA.1D84FB40-DB4E-43E1-B242-629B0CDEDBCC.svs	3973df411a27ac68fa581b1000be1338	284281073	validated
4da2bfef-9a51-4674-ab8f-3ca624ea83bc	TCGA-FK-A3SB-01A-01-TS1.EC963BA7-031B-4261-9429-60955B4EBD52.svs	a9b8fbd7d4e11f6d4b9aea0a12d8cdca	140403221	validated
4da7a1be-4a06-4da3-9ccb-934d4e765a59	TCGA-DJ-A13M-01A-01-BSA.0431c1f0-d443-444e-a6e7-adb70f1c8579.svs	0a2ebe32ee9511d59c9307cbbba075d8	249238325	validated
39353fc7-e1b9-47e7-81d2-2729cc0e7c23	TCGA-DJ-A2QA-01A-01-TSA.DBF816D9-F503-4072-84DF-62CB58F50CA8.svs	bdd376332dd078119af989efdb54264f	151946719	validated
394ba418-f8ed-48af-a22c-b330e2963e7e	TCGA-ET-A3BO-01A-01-TS1.9D0682D5-AF8F-4838-8BEF-0B743DD95491.svs	d569ac052aa410cd49c6dfe0afef7baf	416480077	validated
39cca7bb-ab5e-40d9-a880-3f685efcb0a2	TCGA-BJ-A28V-01A-01-TSA.85D1DAB5-D73E-4EAC-9003-1F7DA0CAC27F.svs	34b8dc536b75fd9ee6e00747e5ee2bef	169984483	validated
4ee87dfc-9a0a-4117-828d-c8dc549769ff	TCGA-E8-A415-01A-01-TSA.C0DCBA57-AB62-4D77-93D3-F734147EC9D2.svs	67848cc843bf9694826822fb9d672fd4	267829297	validated
